,Username,Tweet id,Tweet,Language,Date,Location,Place,Coordinates
23,Priyatharshan 🌏,1.40116E+18,"Flood Alert!
Water levels in Kelani, Kalu, Gin Ganga and Attanagalu Oya rivers are rising. 
People living in downstream and river banks be vigilant.
 #LKA #SriLanka #FloodSL #WeatherSL https://t.co/ATaf5m8Vt0",en,5/6/2021 13:09,Colombo,,
24,NewsCenter.lk,1.40116E+18,"UPDATE: Six killed and five missing due to flood and earthslips caused by inclement weather: Over 180,000 affected. #Lka 
Read more: https://t.co/kPelWg4avn",en,5/6/2021 13:01,Colombo,,
25,SHIHAM,1.40113E+18,"@ReAdSarath @GotabayaR  Do you know kolonawa and wellemapitiya is slowly sinking as usual with the flood? By putting aside this lady's nonsenses, Please give the priorities for that &amp; give a permanent solution.{Attaching a sample video from, gothami mawatha wellampitiya} #SriLanka #floods https://t.co/Y90B7goBEY",en,5/6/2021 10:53,Colombo,,
26,DailyMirror,1.40113E+18,"Due to higher rainfall received in the upper catchment areas of the Kelani River Basin, a flood alert in low lying areas was issued. https://t.co/zbXI9KzSvt",en,5/6/2021 10:47,"Colombo, Sri Lanka",,
27,Sunil Jayasiri,1.40109E+18,"There is a high possibility of considerably increasing current Flood Situation in lowline areas of Kelani River Valley situated in Dehiovita, Ruwanwella, Seethawaka, Dompe, Homagama, Kaduwela, Biyagama, Kolonnawa and Wattala D/S Divisions #SriLanka #lka #flood @dmc_lk https://t.co/icAG5xtmB0",en,5/6/2021 8:18,Colombo-Sri Lanka,,
28,Manjula Basnayake,1.40109E+18,"(watch) Four killed and seven missing due to flood and earthslips caused by inclement weather. #Lka 
Read more: https://t.co/DLmd9L94Dg",en,5/6/2021 8:09,"Colombo, Sri Lanka",,
29,NewsCenter.lk,1.40109E+18,"(watch) Four killed and seven missing due to flood and earthslips caused by inclement weather. #Lka 
Read more: https://t.co/Njj4tpxBQw",en,5/6/2021 8:09,Colombo,,
30,Vajira Sumedha🐦 🇱🇰,1.40108E+18,"Red area map released for possible flooding of Kelani River. #srilanka #weather

https://t.co/h9ksUVIZC4",en,5/6/2021 7:47,Colombo/Sri Lanka,,
31,Newsfirst.lk Sri Lanka,1.40107E+18,"(PICTURES) Navy rescues 29 flood victims in the Puttalam district

READ MORE: https://t.co/bjNVrkXZWG

#Army #lka #News1st #Wearther #ExtremeWeather #Landslide #Death #Police #SearchAndRescue #Missing #Navy #4RU https://t.co/sZZDKYZaeC",en,5/6/2021 6:42,"Colombo, Sri Lanka",,
32,Newsfirst.lk Sri Lanka,1.40102E+18,"(PICTURES) Navy and Coast Guard remove furnace oil mixed with flood waters

READ MORE: https://t.co/2E83CnLwPY

#lka #SriLanka #Weather #Navy #CoastGuard #Sapugaskanda #FurnaceOil #Floods https://t.co/7YI9SXvHTg",en,5/6/2021 3:43,"Colombo, Sri Lanka",,
